variable,label,col_start,col_end,type,Topic B Possible Fields,Topic C Possible Fields
_STATE,State FIPS Code,1,2,num,Geographical Filter,Geographical Filter
FMONTH,File Month,17,18,num,,
IDATE,Interview Date,19,26,str,,
IMONTH,Interview Month,19,20,str,,
IDAY,Interview Day,21,22,str,,
IYEAR,Interview Year,23,26,str,,
DISPCODE,Final Disposition,32,35,num,,
SEQNO,Annual Sequence Number,36,45,str,,
_PSU,Primary Sampling Unit,36,45,num,,
CTELENM1,Correct telephone number?,63,63,num,,
PVTRESD1,Private Residence?,64,64,num,,
COLGHOUS,Do you live in college housing?,65,65,num,,
STATERE1,Resident of State,66,66,num,,
CELPHON1,Cellular Telephone,67,67,num,,
LADULT1,Are you 18 years of age or older?,68,68,num,,
NUMADULT,Number of Adults in Household,69,70,num,,
RESPSLC1,Respondent selection,71,71,num,,
LANDSEX3,Are you male or female?,72,72,num,,
SAFETIME,Safe time to talk,74,74,num,,
CTELNUM1,Correct Phone Number?,75,75,num,,
CELLFON5,Is this a cell phone?,76,76,num,,
CADULT1,Are you 18 years of age or older?,77,77,num,,
CELLSEX3,Are you male or female?,78,78,num,,
PVTRESD3,Do you live in a private residence?,80,80,num,,
CCLGHOUS,Do you live in college housing?,81,81,num,,
CSTATE1,Do you currently live in  ____(state)____?,82,82,num,,
LANDLINE,Do you also have a landline telephone?,85,85,num,,
HHADULT,Number of Adults in Household,86,87,num,,
SEXVAR,Sex of Respondent,88,88,num,Demographics,Demographics
GENHLTH,General Health,101,101,num,,Health and chronic conditions
PHYSHLTH,Number of Days Physical Health Not Good,102,103,num,,Health and chronic conditions
MENTHLTH,Number of Days Mental Health Not Good,104,105,num,Outcome,Health and chronic conditions
POORHLTH,Poor Physical or Mental Health,106,107,num,,
PRIMINS2,What is Your Current Primary Source of Health Care Coverage?,108,109,num,,Healthcare access
PERSDOC3,Have Personal Health Care Provider?,110,110,num,Healthcare access,Healthcare access
MEDCOST1,Could Not Afford To See Doctor,111,111,num,Healthcare access,Healthcare access
CHECKUP1,Length of time since last routine checkup,112,112,num,Healthcare access,Outcome
EXERANY2,Exercise in Past 30 Days,113,113,num,,
LASTDEN4,Last Visited Dentist or Dental Clinic,116,116,num,,
RMVTETH4,Number of Permanent Teeth Removed,117,117,num,,
