level,year,livebirths,HIV/AIDS,Diarrhoeal diseases,Tetanus,Meales,Meningitis/encephalitis,Malaria,Acute respiratory infections,Prematurity,Birth asphyxia and birth trama,Sepsis and other infectious conditions of the newborn,Other Group,Congenital anomalies,Other noncommunicatable diseases,Injuries
global,2000,130371718,219452.1712,1237791.928,173199.1357,487349.5196,292869.2436,639645.125,1774024.577,1380383.96,1124541.297,537303.4805,804978.7705,575635.4955,349935.0489,453809.3618
global,2001,130872035,224770.1477,1159125.193,154130.5501,475393.0033,283307.1047,642435.9825,1700970.517,1353562.94,1096425.124,534417.2874,778769.3809,568864.7106,343319.8923,438916.8588
global,2002,131555312,228096.7537,1087886.794,136194.9871,353572.1879,273910.7688,640353.9447,1630553.468,1325779.606,1065500.133,531600.9971,753469.2335,561387.946,334726.7208,424640.8933
global,2003,132366525,228591.4302,1016879.592,119457.2742,412249.9956,271963.027,632255.2851,1562558.131,1299655.952,1032540.278,527945.329,728135.109,551600.5445,326739.521,410387.6081
global,2004,133260434,224814.4761,951384.9783,103985.0638,304217.5562,252141.0474,627942.2043,1500767.959,1274705.73,999678.6107,524363.9905,701954.5706,546823.0254,320773.3125,432174.0078
global,2005,134195058,217504.2738,890462.814,91486.68463,285349.1095,247075.7092,601440.62,1439203.873,1252360.222,966681.859,518288.8594,676664.9161,540465.7353,313998.8486,392702.8129
global,2006,135137529,207148.0572,839699.1991,81476.85196,194992.9134,212094.373,576803.7586,1390346.083,1230885.007,938026.3222,511260.1051,657817.1655,538016.9217,309442.9621,387599.7514
global,2007,136064310,193063.8275,788857.112,72901.80634,120225.0505,202263.0516,545219.0801,1331178.347,1208950.891,907455.3133,504568.5491,638632.7907,532836.6042,305827.619,381196.6539
global,2008,136947951,175740.5283,741769.7457,65214.01078,128314.797,205544.5736,503032.1965,1271334.003,1185787.921,877653.4273,497656.2558,623471.2179,527116.0478,302107.3325,398116.5016
global,2009,137756186,159511.1825,703578.6649,58725.45439,164772.7537,180126.2105,470407.9562,1219425.721,1165755.079,848902.2203,488415.955,613080.9409,522265.8948,300403.7083,374009.3358
global,2010,138460484,140687.0177,666176.9701,53919.51804,123695.6405,158219.2483,431280.7109,1170185.799,1149128.507,818854.0732,474077.3892,601587.6628,521858.4034,298236.0786,405328.1082
global,2011,139044481,125758.0515,632002.9978,50309.34893,141024.8851,147916.624,384793.5178,1121460.811,1132025.268,789835.6058,456423.4606,590245.1114,519120.6854,296754.5225,368963.0149
global,2012,139516041,110917.1406,595431.7347,46714.92501,101632.4913,151589.2354,348427.0828,1065703.692,1114527.632,762086.6876,439162.1516,577876.1863,513854.4592,292532.3509,364985.2663
global,2013,139884379,96993.50114,567622.6629,42580.74364,125654.6942,133752.9952,323140.6484,1006485.734,1094389.592,738312.6513,423965.0976,573170.2416,510559.1384,288466.2473,363475.2333
global,2014,140150898,83375.45317,535662.6244,38310.02711,101875.7228,111629.283,311243.0424,951937.79,1069410.361,716538.6884,413071.9231,568549.938,508135.4671,283185.2038,360380.467
global,2015,140317345,72371.27477,502805.5752,34345.62892,102603.9032,112495.0968,297327.3589,905647.4681,1041725.559,694955.6515,402390.3191,555192.5351,504310.1739,276190.4963,357114.8988
global,2016,140388730,65988.04055,477292.851,31892.41191,74005.70869,99202.50818,288660.4008,878829.4247,1012054.454,678194.1141,395254.0629,541973.7982,493655.1708,268153.7056,344282.5986
